City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7,170.31,3.42,84,18,1.36,RU,1594770124
Mayo,38.89,-76.51,29.44,51,1,2.6,US,1594770124
Tuktoyaktuk,69.45,-133.04,14.0,76,90,4.1,CA,1594770124
Tazmalt,36.39,4.4,25.0,78,40,3.1,DZ,1594770124
Mataura,-46.19,168.86,8.3,80,47,1.81,NZ,1594770124
Faanui,-16.48,-151.75,26.64,75,25,1.96,PF,1594770124
Punta Arenas,-53.15,-70.92,2.0,87,90,1.5,CL,1594769921
Srednekolymsk,67.45,153.68,9.06,54,95,6.86,RU,1594770124
Busselton,-33.65,115.33,11.11,90,82,6.02,AU,1594770125
Albany,42.6,-73.97,26.67,57,2,1.93,US,1594770125
Ushuaia,-54.8,-68.3,-1.0,92,75,3.1,AR,1594770125
Anloga,5.79,0.9,24.0,88,20,4.6,GH,1594770125
Saint Paul Harbor,57.79,-152.41,23.0,38,1,6.2,US,1594770125
Cherskiy,68.75,161.3,8.51,58,0,6.82,RU,1594770125
Pangnirtung,66.15,-65.71,14.24,46,79,3.69,CA,1594770125
Berdigestyakh,62.1,126.7,24.88,39,0,1.99,RU,1594770125
Port Elizabeth,-33.92,25.57,8.0,87,65,4.1,ZA,1594770125
Rikitea,-23.12,-134.97,22.3,83,88,7.49,PF,1594770126
Tasiilaq,65.61,-37.64,6.0,81,25,1.5,GL,1594770126
Vaini,-21.2,-175.2,24.0,73,40,4.6,TO,1594770126
Norman Wells,65.28,-126.83,24.0,36,40,3.1,CA,1594770126
Rio Grande,-32.03,-52.1,2.78,86,7,5.09,BR,1594769922
Ko Samui,9.54,99.94,26.0,94,20,3.63,TH,1594770126
Kuruman,-27.45,23.43,-0.02,84,0,5.14,ZA,1594770126
Hamilton,39.18,-84.53,30.0,48,40,1.88,US,1594770021
Pitman,39.73,-75.13,30.0,35,75,3.6,US,1594770126
Hithadhoo,-0.6,73.08,28.6,70,84,2.04,MV,1594770126
Puerto Cabezas,14.04,-83.39,30.0,84,40,3.1,NI,1594770127
